Self/Self;Self/Nonself;Nonself/Self;Nonself/Nonself;Predicted number of animals at ward of Control;likeliehood of corrct number of animals %;Wads distance to correct number of animals in Cluster;Species;Imputation Stratagy used;Mice itteration;Percentage of Mssing Values;Balanced accuracy;Error Rate Dendrogramm;Overall Score;Weighted Overall Score;Fercentage dataframes missing;Weighted overall score definde 0-1 (negatve values = 0);Range Scale[Wei... Overall Score];Dataframes Remaining;Number of Mistakes/Shuffels needed for correct Cluster classification;Cluster Accuracy;weigted cluster accuracy;Wads distance to correct number of animals in Cluster Prediction Formula;Comments;Number of Trails Controls;Number of animals control;Number of Variables for best Model;Number of Animals in Dataset with 2prints +;Number of trails in Clustermodel;Self/Self in percent;Nonself/nonself in percent;Overall Accuracy;Fehlerrate im Cluster;Precision;Recall;F1 Score;Sensitivity;Specificity;G-mean;Mathews Cooreletaion Coefficiant;Number of animals missing;percentage animals left in databse;percentge missing animals;Wads distance to correct number of animals in Cluster Prediction Formula 2;Wads distance to correct number of animals in Cluster Prediction Formula 3;Wads distance to correct number of animals in Cluster Prediction Formula 4;Cluster Accuracy Prediction Formula;Cluster Accuracy Prediction Formula 3;Cluster Accuracy Predictor;Cluster Accuracy Prediction Formula 2
269;4;4488;6867;24;0;1,39;White Rhino;Miss Forrest;;15;0,7950518;0,414634146;0,696757298;0,696757298;2546;0,696757298;0,846357031;2546;;;0,380417653;1,372130166;many errors handle with a little care;153;41;12;41;153;0,985347985;0,604755614;0,61369109;28,75816993;0,978021978;0,084120983;0,154917319;0,084120983;0,999290277;0,289933234;0,245405545;0;1;0;1,483624958;1,499190708;1,527139475;59,1917936;66,39538907;72,61460284;72,12230462
251;22;4122;7233;26;42;1,392;White Rhino;Miss Forrest;;20;0,778201015;0,365853659;0,712873618;0,712873618;2546;0,712873618;0,854522633;2546;;;0,412347357;1,276222724;;153;41;12;41;153;0,919413919;0,636988111;0,643618851;32,02614379;0,967032967;0,071409251;0,132997481;0,071409251;0,998865212;0,267073429;0,216128154;0;1;0;1,429302496;1,441335681;1,468123928;49,04042742;59,46855097;73,60199866;68,44823131
241;32;905;10450;42;100;1,94;White Rhino;Mean Imputation;;1;0,901541655;0,024390244;0,947480598;0,947480598;2546;0,947480598;0,97339017;2546;;;0,877151411;1,992439305;;153;41;12;41;153;0,882783883;0,920299428;0,919418645;11,11111111;0,838827839;0,288050314;0,428838951;0,288050314;0,995938337;0,535612127;0,473351795;0;1;0;2,000680326;2,036451475;1,992260312;81,21924772;84,00877817;80,1719824;82,14207388
241;32;1047;10308;41;98,1;1,946;White Rhino;Mean Imputation;;2,5;0,895288903;0;0,956635386;0,956635386;2546;0,956635386;0,978028595;2546;;;0,895288903;1,972016397;;153;41;12;41;153;0,882783883;0,907793923;0,907206742;15,03267974;0,846153846;0,228939544;0,360374415;0,228939544;0,996044825;0,477529107;0,418277831;0;1;0;1,966800856;2,00674029;1,968350271;78,33167132;81,94619558;80,1719824;80,09919801
249;24;1693;9662;42;100;1,942;White Rhino;Mean Imputation;;5;0,881495299;0,024390244;0,937362324;0,937362324;2546;0,937362324;0,968263577;2546;;;0,857105055;1,92219457;;153;41;12;41;153;0,912087912;0,850902686;0,852339181;21,56862745;0,875457875;0,17916042;0,297448662;0,17916042;0,996697105;0,422573865;0,370131511;0;1;0;1,898951561;1,941589516;1,910570972;75,8931312;80,0003653;78,28399235;78,66328406
259;14;3578;7777;31;42;1,612;White Rhino;Mean Imputation;;10;0,816807235;0,243902439;0,793913996;0,793913996;2546;0,793913996;0,895583091;2546;;;0,572904796;1,608498007;Many error in cluster handle with care;153;41;12;41;153;0,948717949;0,684896521;0,691090471;30,71895425;0,923076923;0,089615932;0,163371151;0,089615932;0,997617967;0,299002448;0,246691304;0;1;0;1,671000541;1,712429539;1,695793634;55,63099651;65,56063777;69,24631589;70,75912552
223;50;3817;7538;36;40,1;1,797;White Rhino;Mean Imputation;;15;0,740349171;0,12195122;0,816876385;0,816876385;2546;0,816876385;0,907217369;2546;;;0,618397951;1,655120776;Many error in cluster handle with care;153;41;12;41;153;0,816849817;0,663848525;0,66744066;41,17647059;0,805860806;0,062767475;0,116463737;0,062767475;0,993475317;0,249715713;0,170448906;0;1;0;1,703083639;1,720718172;1,713111077;31,18600721;49,68130608;64,22606098;60,76267685
235;38;6213;5142;30;0,2;1,558;White Rhino;Mean Imputation;;20;0,65682301;0,268292683;0,700852119;0,700852119;2546;0,700852119;0,84843174;2546;;;0,388530327;1,228948333;many mistakes handle with care;153;41;12;41;153;0,860805861;0,452840159;0,462418301;45,75163399;0,871794872;0,045041635;0,085657729;0,045041635;0,994482976;0,211643897;0,129973767;0;1;0;1,437457034;1,441713347;1,418072304;7,720285805;32,86337634;48,4597513;54,2804297
188;85;94;11261;59;41;;White Rhino;Deletion of every row with missing values;;1;0,840183199;0,43902439;0,707226268;0,707226268;;0,707226268;0,851661309;2390;;;0,401158808;2,103080869;;153;41;12;41;153;0,688644689;0,991721708;0,984606123;12,41830065;0,827838828;0,342943854;0,484978541;0,342943854;0,995715197;0,584358116;0,517147013;0;1;0;2,032867427;2,055289729;2,038001155;89,22122019;83,92951973;85,15260691;85,18095836
158;115;107;11248;64;0;2,588;White Rhino;Deletion of every row with missing values;;2,5;0,784665709;0,56097561;0,617650031;0,617650031;;0,617650031;0,806276016;2192;;;0,223690099;2,184406809;;153;41;12;41;153;0,578754579;0,990576838;0,980908153;20,26143791;0,783882784;0,319880419;0,454352442;0,319880419;0,994616297;0,564055208;0,483659524;0;1;0;2,077993403;2,103448035;2,086085127;84,34211265;80,94150661;84,13274036;82,39880074
